strategy,trial_id,p_ema_period,p_pullback_lookback_bars,p_proximity_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
intraday_pullback,0,35,4,0.0,180,1.75,-2.25,-1.3279563533519485,-0.8735134597259702,-0.6650890933201083,0.6716547262765887,0.5317899101589495,5788,-0.6611531956508331,-1.6440997202803338,-1.5074481467677774,-0.6069331670890356,0.4353288949760071,0.4638171815488785,2363,-0.6041919347175426,,1181.5,3,False,False,,False,3,False
intraday_pullback,1,15,14,0.3,360,3.75,-1.0,-1.2302767439216271,-1.1510226092215727,-0.7675337222597205,0.6624468845766084,0.2193227710469089,9657,-0.766636046999033,-1.4282038439652118,-1.3167863435972555,-0.6999341382870453,0.4956754440680241,0.1739669421487603,4840,-0.6986134708111661,,2420.0,2,False,False,,False,2,False
intraday_pullback,2,10,12,1.3,60,1.0,-2.75,-1.2637192062733449,-0.9764271874130914,-0.7338882530426585,0.5647652226701163,0.6880699088145896,5264,-0.7333990235929305,-1.9954677662240543,-1.0951310018502127,-0.495086062216571,0.4079670647119675,0.6195711929631665,1819,-0.4862604808757406,,909.5,3,False,False,,False,3,False
intraday_pullback,3,15,6,0.0,300,1.75,-1.0,-1.0385962819173948,-2.5702006685430803,-0.9613216108708466,0.4784315326644485,0.3147641603842818,14989,-0.9613177862779716,-1.1400046836600697,-3.1983906786662653,-0.8771885781443688,0.3339618697151958,0.2686353211009174,6976,-0.8771885781443689,,3488.0,2,False,False,,False,2,False
intraday_pullback,4,25,6,1.4,330,2.0,-3.0,-1.4622810387391814,-0.4644040622213183,-0.4513857252229182,0.8059886958115149,0.5953746862674794,5578,-0.419441130771754,-1.934201238481168,-1.0360348154882413,-0.511122385631001,0.5778026047087949,0.5103448275862069,2610,-0.4907679902686807,,1305.0,3,False,False,,False,3,False
intraday_pullback,5,40,15,0.5,240,2.25,-2.0,-1.3478763856140068,-0.8139256761131112,-0.6376083269775478,0.7048804602944412,0.460272684532205,6381,-0.6279640895712433,-1.698209428919306,-1.5176176910200372,-0.5871800183678647,0.4650308944397688,0.3781512605042016,2856,-0.5868574051259214,,1428.0,3,False,False,,False,3,False
intraday_pullback,6,15,6,1.0,90,1.25,-1.5,-1.0625275960871972,-1.8442766618359931,-0.9372820639890768,0.4781066708129794,0.4842152567127289,8901,-0.9372584264891528,-1.357613637711668,-2.1557996732129654,-0.7364752292641911,0.3540927715490161,0.4206466923761495,3371,-0.7346041469609899,,1685.5,3,False,False,,False,3,False
intraday_pullback,7,10,8,1.1,330,2.0,-3.0,-1.4831220358600954,-0.4414471325962421,-0.4347393774265782,0.8165271720949494,0.5941901408450704,5680,-0.4064324221544084,-1.92385112444172,-1.0425579396664095,-0.5136154388337018,0.5821539111041217,0.5136430678466076,2712,-0.4874968610197155,,1356.0,3,False,False,,False,3,False
intraday_pullback,8,35,10,0.3,240,1.25,-1.0,-1.0175262813428063,-3.017113436499712,-0.9824517317337302,0.3948355414698159,0.3628268947626726,14263,-0.9824151725875522,-1.0967369987357338,-3.4589953115749297,-0.91179553481352,0.2495950767092643,0.3141831238779174,6684,-0.911785362270934,,3342.0,2,False,False,,False,2,False
intraday_pullback,9,20,13,1.1,330,1.75,-2.75,-1.4066329886403277,-0.614341163731734,-0.5485157734501627,0.760617067639989,0.5954847688263492,6467,-0.5248385980254302,-1.8620310818268777,-1.0517349561465008,-0.5331191939182225,0.5660844307884891,0.5116436044549443,2963,-0.5236332135959928,,1481.5,3,False,False,,False,3,False
intraday_pullback,10,10,13,0.7000000000000001,180,1.25,-2.25,-1.2173880607522076,-1.248672053354685,-0.7807795523523688,0.5792695677633519,0.5962302859340941,7799,-0.7801782304528602,-1.4815482097609662,-1.7623725870041933,-0.6745534339692809,0.3599624409890096,0.4985888993414863,3189,-0.6719428848793609,,1594.5,3,False,False,,False,3,False
intraday_pullback,11,40,4,1.2000000000000002,180,2.75,-1.75,-1.39595978362191,-0.7110471567895225,-0.5915175422308565,0.7382665326940772,0.3910692482121053,5733,-0.5854333224379562,-1.696102109978516,-1.2897638049898488,-0.5878723568660542,0.4898305114907925,0.3186767169179229,2388,-0.5854886863552673,,1194.0,2,False,False,,False,2,False
intraday_pullback,12,15,8,1.1,150,3.5,-2.0,-1.4173323278061458,-0.4492708001557126,-0.4662472439836644,0.8081013457954938,0.3842058562555457,4508,-0.4201081026365943,-2.0013140894795707,-1.0841393951212812,-0.4936615067265855,0.5334804647253816,0.296692607003891,2056,-0.4865397437224119,,1028.0,2,False,False,,False,2,False
intraday_pullback,13,35,13,0.2,330,3.5,-2.5,-1.1686014183076765,-0.2040393653158008,-0.3273608217257387,0.9071410546960332,0.4510678244543534,4261,-0.2157249110179151,-2.2043597786240485,-0.6751493440209243,-0.4377972500167645,0.6503631531385861,0.358472553699284,2095,-0.3969721406127718,,1047.5,3,False,False,,False,3,False
intraday_pullback,14,30,14,0.7000000000000001,120,2.75,-1.5,-1.3227158856661327,-0.7994458096179109,-0.6612192455736158,0.6967171151632991,0.3524296675191816,5865,-0.6487943389384216,-1.7663813008724767,-1.3744947428707297,-0.5637791125485625,0.4572840755356219,0.2791817087845968,2493,-0.562644680615974,,1246.5,2,False,False,,False,2,False
intraday_pullback,15,20,13,0.7000000000000001,360,2.25,-3.0,-1.423911538459069,-0.3259216987414852,-0.3737899206192923,0.861323586853171,0.578836182062608,5207,-0.3181319536503892,-2.1651171760432555,-0.6466836293887404,-0.448027695638108,0.6743575822829336,0.4880478087649402,2510,-0.4107648328693729,,1255.0,3,False,False,,False,3,False
