strategy,trial_id,p_vol_lookback_bars,p_volume_mult,p_entry_window_start_bar,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
volume_surge,0,30,2.5,5,180,2.5,-2.25,-1.3350442045677615,-0.2442871100055424,-0.3530171785398208,0.8540529689273619,0.4910744358369821,2969,-0.2747145678803292,-2.1732438433914685,-0.9459775574045632,-0.4505515554544516,0.4553905845111926,0.392,1000,-0.4421653390698028,,500.0,3,False,False,,False,3,False
volume_surge,1,10,7.5,10,360,5.0,-2.75,2.448931420931009,0.1161566968363611,-0.1551811275303654,1.131652716329563,0.4444444444444444,1170,0.176248411953352,0.0475376354475699,0.0083053814240479,-0.1563232671917531,1.0088837450440835,0.3602305475504322,347,0.0011170638843347,0.0194115829627836,173.5,3,False,False,,False,3,False
volume_surge,2,25,5.0,5,60,1.5,-2.25,-1.3586132939102007,-0.131279998977852,-0.2110735052364401,0.8058419794765234,0.6368038740920097,413,-0.1566007380915437,-4.437483029467919,-0.3160921062512036,-0.1249207673261326,0.5316843460776232,0.532608695652174,92,-0.1147358175566675,,46.0,4,False,False,,False,4,False
volume_surge,3,10,6.0,50,60,5.0,-2.25,-0.4159583280911031,-0.0155346507135309,-0.1098350805973018,0.9556432005615676,0.34375,128,-0.0232917183598336,-4.241547400986675,-0.1874282814213773,-0.1041998868120144,0.5428545309012326,0.25,32,-0.0842061719113839,,16.0,3,False,False,,False,3,False
volume_surge,4,30,7.0,60,300,4.0,-2.25,-0.2414746157703186,-0.0152045976535313,-0.2191170320710291,0.9884592207534394,0.4257907542579075,1233,-0.0270250426456677,-3.103682132343976,-0.3074115225629579,-0.2339953508053234,0.6732220993582323,0.3658536585365853,328,-0.1774595825558557,,164.0,3,False,False,,False,3,False
volume_surge,5,20,6.5,25,60,2.0,-1.5,-1.3163507780020138,-0.1335054916624556,-0.2087220757057263,0.7731202278218864,0.4435797665369649,257,-0.1494696684455978,-4.504094655662811,-0.2355422462812931,-0.0763342658209405,0.5415726543034866,0.4565217391304347,46,-0.061555589332185,,23.0,4,False,False,,False,4,False
volume_surge,6,15,4.0,15,150,3.5,-2.75,0.055526738650551,0.0081885932872918,-0.2279569606088131,1.0130583801570798,0.5072083879423329,1526,0.0063591817677211,-2.939573889292929,-0.3220989695615692,-0.2431736744616636,0.7166163907113434,0.4026548672566372,452,-0.1723746001986034,-52.93979010351544,226.0,3,False,False,,False,3,False
volume_surge,7,5,5.0,10,210,3.5,-2.0,-1.2165759153911249,-0.1420869128508948,-0.2718748300657456,0.8923164719643726,0.398406374501992,2008,-0.1832295876048931,-2.698327619108584,-0.4543917522733374,-0.3113674061302383,0.6371708115902809,0.3285714285714285,560,-0.2415687718160407,,280.0,2,False,False,,False,2,False
volume_surge,8,5,7.5,40,300,1.5,-1.5,-1.4406872151718395,-0.5117241196906315,-0.5477304416100102,0.6455472478962643,0.4719750889679715,2248,-0.5435980432386862,-3.2141537119175627,-0.5739801679789754,-0.2637352498576662,0.5723131660658157,0.4587813620071684,558,-0.2470562850795236,,279.0,3,False,False,,False,3,False
volume_surge,9,5,6.0,25,360,3.5,-2.25,-1.0783026505718958,-0.1236032594225601,-0.2742207752201875,0.9102774589863506,0.4361014420686225,2011,-0.1619365761635045,-2.973980340201624,-0.2296366351659452,-0.2314008481366084,0.7864620906335527,0.3948635634028892,623,-0.1611513669021599,,311.5,3,False,False,,False,3,False
volume_surge,10,30,2.5,5,360,2.5,-2.0,-1.5077296007265686,-0.2997583176289855,-0.3626174249719995,0.8548281594509347,0.4607452542770096,4267,-0.3288566431522352,-2.140141104751617,-0.6512891690408626,-0.4552299151327415,0.6172909467307612,0.4053560559951308,1643,-0.4241101941034368,,821.5,3,False,False,,False,3,False
volume_surge,11,5,3.5,10,240,3.0,-1.25,-1.4142546175213115,-0.5782953083689701,-0.5613026575024659,0.707019253492905,0.2936105476673428,3944,-0.5487711611561379,-2.1530318501501267,-1.0650817314997982,-0.4557790898763998,0.462868354588216,0.2617504051863857,1234,-0.4512424253984179,,617.0,2,False,False,,False,2,False
