trial_id,value,state,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
0,11.578676964720854,TrialState.COMPLETE,5.5,1480,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
1,-1000000.0,TrialState.COMPLETE,3.0,1460,1515,6.36963526330457,212,0.3867924528301887,106.0,True,-0.20577715850784506,-0.20579825682888256,,3,19.543253275348768,293,0.44368600682593856,146.5,True,,700,-0.20579825682888256,False,0.06213819662821285,-0.06473864268239814,,5,-3.6799751750786625,195,0.3128205128205128,97.5,False,0.17954459636442444,-0.09364314308503048,,5,7.410971121191558,116.66666666666667,0.39,4,['mdd']
2,-1000000.0,TrialState.COMPLETE,3.0,1440,1515,10.334116690759933,225,0.38666666666666666,112.5,True,-0.18899315286238638,-0.1889931528623864,,3,20.711221492678973,315,0.43174603174603177,157.5,True,,741,-0.1889931528623864,False,0.09602148757641049,-0.06683239074944664,,5,-3.8310802746861308,201,0.3333333333333333,100.5,False,0.17515300269451273,-0.08518866689211387,,5,9.071419302917592,123.5,0.3913630229419703,4,['mdd']
3,8.612591490060431,TrialState.COMPLETE,5.0,1440,1505,22.989579608992425,108,0.39814814814814814,54.0,True,-0.13359096601960663,-0.1335909660196066,,4,7.233121778081533,179,0.4134078212290503,89.5,True,,384,-0.1335909660196066,True,0.12144591214851674,-0.040363614654840674,,5,-4.3849269168926615,97,0.27835051546391754,48.5,False,0.09463225730058,-0.10612625743639645,,5,8.612591490060431,64.0,0.375,5,
4,7.289527628818519,TrialState.COMPLETE,5.0,1470,1520,17.26115071809349,108,0.4166666666666667,54.0,True,-0.12058571354688719,-0.12112047610247463,,4,9.115871711273021,179,0.43575418994413406,89.5,True,,387,-0.12112047610247463,True,0.09404837028324309,-0.03900644745528484,,5,-4.508439542910955,100,0.29,50.0,False,0.09767258056760975,-0.0876255043448622,,5,7.289527628818519,64.5,0.39276485788113696,5,
5,7.187186633188272,TrialState.COMPLETE,5.5,1460,1505,20.28093178682294,96,0.3958333333333333,48.0,True,-0.09406230998777476,-0.0962631193762748,,4,6.008362292535916,136,0.4264705882352941,68.0,True,,301,-0.09808690685197177,True,0.10916783040662636,-0.039945782078751185,,5,-4.727734179794041,69,0.2608695652173913,34.5,False,0.07631464432935031,-0.09808690685197177,,5,7.187186633188272,50.166666666666664,0.3787375415282392,5,
6,8.167027672119572,TrialState.COMPLETE,4.5,1490,1510,20.093971552330757,126,0.42063492063492064,63.0,True,-0.1420656527101597,-0.14297459841812224,,4,8.674097909442002,192,0.4375,96.0,True,,439,-0.14297459841812224,True,0.11344669348308134,-0.0423260136918895,,5,-4.266986445414047,121,0.2809917355371901,60.5,False,0.09738275931241014,-0.09174358568970678,,5,8.167027672119572,73.16666666666667,0.3895216400911162,5,
7,-1000000.0,TrialState.COMPLETE,2.0,1480,1515,15.605467983132415,303,0.38943894389438943,151.5,True,-0.20136222442242102,-0.20136222442242102,,3,2.7622111825865363,377,0.4403183023872679,188.5,False,,942,-0.20136222442242102,False,0.12422445629553547,-0.06122604112891542,,5,-3.71927707490282,262,0.29389312977099236,131.0,False,0.05833480441564487,-0.1554213483915893,,4,4.882800696938711,157.0,0.3832271762208068,4,['mdd']
8,-1000000.0,TrialState.COMPLETE,1.5,1470,1510,21.012626528478876,331,0.3987915407854985,165.5,True,-0.17159477918707888,-0.18891235250184865,,3,0.5142954502885855,405,0.41975308641975306,202.5,False,,1059,-0.19607202682822003,False,0.1440438659229386,-0.05526726650920628,,5,-3.629158067738832,323,0.30959752321981426,161.5,False,0.015366483309240397,-0.19607202682822003,,4,5.96592130367621,176.5,0.37960339943342775,4,['mdd']
9,7.01474050522305,TrialState.COMPLETE,5.0,1500,1505,15.462092304361452,102,0.39215686274509803,51.0,True,-0.09981486454468336,-0.10222193694838345,,4,10.238940243463897,163,0.4233128834355828,81.5,True,,351,-0.10222193694838345,True,0.08586134998736261,-0.038988119406943786,,5,-4.6568110321562,86,0.27906976744186046,43.0,False,0.11104982623464532,-0.0919458378995804,,5,7.01474050522305,58.5,0.3789173789173789,5,
10,-1000000.0,TrialState.COMPLETE,1.5,1450,1505,24.318129063038445,341,0.39589442815249265,170.5,True,-0.18746439402126525,-0.19050478100889862,,3,6.750420241019326,416,0.4206730769230769,208.0,True,,1077,-0.19050478100889862,False,0.15960353991308218,-0.05490424603659718,,5,-3.7838169988923775,320,0.3125,160.0,False,0.11407570742847795,-0.14443244644960954,,5,9.094910768388464,179.5,0.3806870937790158,4,['mdd']
