trial_id,value,state,p_gap_threshold_pct,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_mdd,a_fold2_test_win_rate,a_fold2_overfit,a_fold2_monthly_trades,a_fold2_gates_passed,a_fold2_all_pass,a_fold3_test_calmar,a_fold3_test_return,a_fold3_test_trades,a_fold3_test_mdd,a_fold3_test_win_rate,a_fold3_overfit,a_fold3_monthly_trades,a_fold3_gates_passed,a_fold3_all_pass,a_avg_calmar,a_avg_overfit,a_avg_monthly_trades,a_agg_trades,a_agg_win_rate,a_worst_mdd,a_agg_gates_passed,a_valid,a_failed_aggregate_gates
0,-1000000.0,TrialState.COMPLETE,6.5,2.5,75,6.5,-4.0,-3.4202308179486622,-0.0906944112525988,27,-0.12276275750795212,0.2962962962962963,,13.5,3,False,-4.8892300379624265,-0.08421535783992395,13,-0.08542660582845212,0.23076923076923078,,6.5,3,False,2.88866440726058,0.028994985927471406,35,-0.06830198262096669,0.45714285714285713,,17.5,5,False,-1.80693214955017,,12.5,75,0.36,-0.12276275750795212,4,False,"['trades', 'calmar_floor']"
1,-1000000.0,TrialState.COMPLETE,2.0,5.0,30,6.0,-3.5,23.356687794882834,0.12615247106939842,154,-0.041733049917624505,0.44805194805194803,,77.0,5,True,-3.029814433874433,-0.2507994223367337,160,-0.2741005108249992,0.26875,,80.0,3,False,-0.15364336746537033,-0.003105545443892632,233,-0.12629661815240203,0.40772532188841204,,116.5,5,False,6.724409997847677,,91.16666666666667,547,0.37842778793418647,-0.2741005108249992,4,False,['mdd']
2,-1000000.0,TrialState.COMPLETE,7.0,2.0,45,5.0,-3.5,-4.079103721049337,-0.07674644099168393,22,-0.08997783939204992,0.2727272727272727,,11.0,3,False,-4.522009904795565,-0.09673145084080992,13,-0.10280811381642878,0.23076923076923078,,6.5,3,False,31.204575874512624,0.11609535706537111,27,-0.03197109561822239,0.6296296296296297,,13.5,4,False,7.534487416222574,,10.333333333333334,62,0.41935483870967744,-0.10280811381642878,4,False,['trades']
3,-1000000.0,TrialState.COMPLETE,7.0,3.0,45,8.0,-3.5,-3.52471594995809,-0.06993918140649225,19,-0.09641339010458555,0.21052631578947367,,9.5,3,False,-4.5985050758111,-0.08721464037929294,13,-0.09335516480898053,0.23076923076923078,,6.5,3,False,31.30642244048477,0.14157275893515386,25,-0.04161724864783443,0.52,,12.5,4,False,7.727733804905193,,9.5,57,0.3508771929824561,-0.09641339010458555,4,False,['trades']
4,-1000000.0,TrialState.COMPLETE,2.0,1.5,45,2.0,-1.5,-2.7761548587644174,-0.3017329753618476,404,-0.31416093485565283,0.4183168316831683,,202.0,4,False,-1.9728769568553608,-0.4996907971528246,423,-0.49969079715282455,0.2765957446808511,,211.5,3,False,-1.9421077127260375,-0.5040378594313883,616,-0.5086950601162632,0.37012987012987014,,308.0,4,False,-2.2303798427819386,,240.5,1443,0.3562023562023562,-0.5086950601162632,4,False,"['mdd', 'calmar_floor']"
5,-1000000.0,TrialState.COMPLETE,6.0,3.0,90,8.0,-4.0,0.9253106400903893,0.015184573984385219,30,-0.09742347916217095,0.4,,15.0,5,False,-4.156764993974815,-0.10694040809451877,18,-0.12052811571387591,0.2222222222222222,,9.0,3,False,2.5927445040347954,0.04183058144293539,42,-0.11360883133202128,0.42857142857142855,,21.0,5,False,-0.2129032832832102,,15.0,90,0.37777777777777777,-0.12052811571387591,5,False,['calmar_floor']
6,-1000000.0,TrialState.COMPLETE,6.5,3.5,30,7.0,-3.0,-3.424697542788146,-0.06549935824350406,22,-0.09389901977421292,0.2727272727272727,,11.0,3,False,-4.598885263320861,-0.07187540507906409,14,-0.07996240091675035,0.21428571428571427,,7.0,3,False,4.77157559444254,0.03576055150602131,31,-0.051925923718115496,0.41935483870967744,,15.5,5,True,-1.0840024038888227,,11.166666666666666,67,0.3283582089552239,-0.09389901977421292,3,False,"['trades', 'win_rate', 'calmar_floor']"
7,-1000000.0,TrialState.COMPLETE,5.5,4.5,75,3.5,-2.5,-3.946615809487581,-0.08366417821562544,45,-0.09976019217309298,0.35555555555555557,,22.5,5,False,-3.8933405064486064,-0.16221377279290716,36,-0.17030660559395008,0.25,,18.0,3,False,-2.7737765593804258,-0.053141651586947614,67,-0.10494092993414408,0.4626865671641791,,33.5,5,False,-3.537910958438871,,24.666666666666668,148,0.3783783783783784,-0.17030660559395008,4,False,"['mdd', 'calmar_floor']"
8,-1000000.0,TrialState.COMPLETE,2.5,4.0,75,2.0,-4.0,-3.2768467350861132,-0.08311023782649873,178,-0.11950911426741977,0.6235955056179775,,89.0,5,False,-3.252710860443364,-0.25670434697960043,171,-0.2577915371551517,0.5087719298245614,,85.5,4,False,-3.6296299234639333,-0.18426112732868383,289,-0.19914243955337843,0.643598615916955,,144.5,4,False,-3.3863958396644698,,106.33333333333333,638,0.6018808777429467,-0.2577915371551517,4,False,"['mdd', 'calmar_floor']"
9,-1000000.0,TrialState.COMPLETE,5.5,4.5,15,7.0,-2.5,0.7212989140708391,0.008846901577350907,26,-0.07173150789930864,0.3076923076923077,,13.0,3,False,-3.7836933860631157,-0.09670966698951511,23,-0.12284821705873274,0.17391304347826086,,11.5,3,False,3.298407895555356,0.03096263869786342,42,-0.06421236858985509,0.35714285714285715,,21.0,5,True,0.07867114118769318,,15.166666666666666,91,0.2967032967032967,-0.12284821705873274,4,False,"['win_rate', 'calmar_floor']"
