trial_id,value,state,p_chase_threshold_pct,p_limit_proximity_pct,p_vol_lookback_bars,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_mdd,a_fold2_test_win_rate,a_fold2_overfit,a_fold2_monthly_trades,a_fold2_gates_passed,a_fold2_all_pass,a_fold3_test_calmar,a_fold3_test_return,a_fold3_test_trades,a_fold3_test_mdd,a_fold3_test_win_rate,a_fold3_overfit,a_fold3_monthly_trades,a_fold3_gates_passed,a_fold3_all_pass,a_avg_calmar,a_avg_overfit,a_avg_monthly_trades,a_agg_trades,a_agg_win_rate,a_worst_mdd,a_agg_gates_passed,a_valid,a_failed_aggregate_gates
0,-1000000.0,TrialState.COMPLETE,21.0,27.0,10,5.5,180,5.0,-1.5,-5.667995835240363,-0.004402830128287349,1,-0.004402830128287375,0.0,,0.5,2,False,-6.073469332228979,-0.004637227621500095,1,-0.004637227621500045,0.0,,0.5,2,False,-6.14834360468685,-0.009204457704307445,2,-0.009204457704307436,0.0,,1.0,2,False,-5.963269590718731,,0.6666666666666666,4,0.0,-0.009204457704307436,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
1,-1000000.0,TrialState.COMPLETE,18.0,26.5,15,4.5,270,7.0,-2.0,-5.382834778142198,-0.026287111110162464,5,-0.026287111110162437,0.0,-135.8020238814132,2.5,1,False,-5.971370270331076,-0.011236172039700176,2,-0.01123617203970015,0.0,,1.0,2,False,-3.1198084688316254,-0.02275480619986059,11,-0.04326791955697801,0.18181818181818182,,5.5,3,False,-4.824671172434966,-135.8020238814132,3.0,18,0.1111111111111111,-0.04326791955697801,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
2,-1000000.0,TrialState.COMPLETE,18.0,29.0,10,9.0,90,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
3,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.0,240,6.5,-2.5,-5.629879894724092,-0.0072596194781249235,1,-0.007259619478124976,0.0,-7.760195222921808,0.5,1,False,2911.866743157649,0.013686488760125126,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.8777315229574185,-0.026260391573667108,3,-0.02626039157366708,0.0,,1.5,2,False,966.7863772466559,-7.760195222921808,0.8333333333333334,5,0.2,-0.02626039157366708,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
4,-1000000.0,TrialState.COMPLETE,17.0,26.0,25,5.0,270,3.0,-3.5,-0.1494986221909305,-0.00041221961119186634,6,-0.015776700633787718,0.5,-0.06971868759505553,3.0,3,False,3.260513368430995,0.004323420937637268,3,-0.008241223170460171,0.6666666666666666,2.8800607748919385,1.5,3,False,3.5889322417244265,0.019357941960128633,8,-0.035773183566808406,0.625,,4.0,4,False,2.2333156626548303,1.4051710436484415,2.8333333333333335,17,0.5882352941176471,-0.035773183566808406,3,False,"['trades', 'monthly_trades', 'calmar_floor']"
5,-1000000.0,TrialState.COMPLETE,13.0,24.5,10,4.0,270,8.0,-5.0,3.5107703263267567,0.020118386108220143,14,-0.034420224028761895,0.5,0.2855914157054982,7.0,3,False,-3.9978286895666844,-0.04728718929565667,6,-0.06441131437581286,0.16666666666666666,-0.4853044505515535,3.0,2,False,30.261536918792476,0.16317898372629114,30,-0.052595857001412866,0.6666666666666666,,15.0,5,True,9.924826185184182,-0.09985651742302767,8.333333333333334,50,0.56,-0.06441131437581286,3,False,"['overfit', 'trades']"
6,-1000000.0,TrialState.COMPLETE,17.0,24.0,15,9.0,240,3.5,-5.0,,0.0,0,0.0,0.0,,0.0,1,False,,0.0,0,0.0,0.0,,0.0,1,False,4634.393775890347,0.020859143370058453,3,-2.9971043460071088e-05,1.0,11.54709178254282,1.5,3,False,4634.393775890347,11.54709178254282,0.5,3,1.0,-2.9971043460071088e-05,3,False,"['trades', 'monthly_trades']"
7,-1000000.0,TrialState.COMPLETE,8.0,25.0,20,4.0,210,3.5,-1.5,5.0180494927687604,0.03322089541524953,58,-0.041019108807994316,0.43103448275862066,,29.0,5,True,0.4833300601777746,0.003040064577641388,32,-0.03896314272681654,0.25,,16.0,4,False,-3.5704967488300885,-0.04312336380843551,77,-0.06791290764198622,0.33766233766233766,,38.5,4,False,0.6436276013721488,,27.833333333333332,167,0.3532934131736527,-0.06791290764198622,5,False,['calmar_floor']
8,-1000000.0,TrialState.COMPLETE,9.0,28.5,10,6.0,120,4.0,-1.5,8.105922595460669,0.016222689184503647,10,-0.01191067749058855,0.5,12.138219897329261,5.0,4,False,3.7713743749033886,0.013483183993399761,8,-0.022750756238057616,0.125,2.0374985883056564,4.0,3,False,-4.466397712177142,-0.016036934068347386,12,-0.02168109868841198,0.25,-1.8242520142689114,6.0,2,False,2.470299752728972,4.117155490455335,5.0,30,0.3,-0.022750756238057616,3,False,"['trades', 'win_rate', 'calmar_floor']"
9,-1000000.0,TrialState.COMPLETE,9.0,26.0,25,9.0,90,3.0,-2.5,-5.6855232210462825,-0.0030959433422499405,1,-0.0030959433422499895,0.0,-2.8666988770829476,0.5,1,False,,0.0,0,0.0,0.0,,0.0,1,False,,0.0,0,0.0,0.0,,0.0,2,False,-5.6855232210462825,-2.8666988770829476,0.16666666666666666,1,0.0,-0.0030959433422499895,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
10,-1000000.0,TrialState.COMPLETE,14.0,25.0,30,8.5,150,4.5,-4.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,-6.110354072098221,-0.011548803477000047,1,-0.011548803476999998,0.0,,0.5,2,False,-6.110354072098221,,0.16666666666666666,1,0.0,-0.011548803476999998,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
11,-1000000.0,TrialState.COMPLETE,21.0,25.0,10,6.5,150,4.5,-2.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
12,-1000000.0,TrialState.COMPLETE,10.0,28.5,25,8.5,120,3.5,-1.5,-5.656175363063784,-0.0052866016299875085,1,-0.0052866016299875085,0.0,,0.5,2,False,70.29660447056918,0.041901731296356104,2,-0.00408231314504385,0.5,,1.0,3,False,4.785768880517449,0.0030232432064816184,2,-0.004011829207304859,0.5,0.5050159829493366,1.0,3,False,23.142065996007616,0.5050159829493366,0.8333333333333334,5,0.4,-0.0052866016299875085,3,False,"['trades', 'monthly_trades']"
13,-1000000.0,TrialState.COMPLETE,21.0,28.5,15,8.0,240,2.0,-3.0,6.310761490410401,0.008102826512718764,2,-0.007495908312299605,0.5,,1.0,3,False,583.9690660979642,0.002822729091187526,1,-2.9926182750016452e-05,1.0,2674.972122496684,0.5,3,False,1318.4986091767576,0.0061747219515149165,2,-2.999088800996542e-05,1.0,462.48472996003136,1.0,3,False,636.2594789217106,1568.7284262283576,0.8333333333333334,5,0.8,-0.007495908312299605,3,False,"['trades', 'monthly_trades']"
14,-1000000.0,TrialState.COMPLETE,12.0,26.5,10,9.0,90,5.0,-3.0,1836.2873044634587,0.009404220045967415,1,-2.9990857942551376e-05,1.0,1.1778435721921483,0.5,3,False,-6.035713775622381,-0.0070634267558125075,1,-0.007063426755812466,0.0,-0.003113117149984537,0.5,1,False,2091.5436562787477,0.009704135598149977,1,-2.999233125001192e-05,1.0,624.8977806269584,0.5,3,False,1307.2650823221948,208.69083702733352,0.5,3,0.6666666666666666,-0.007063426755812466,3,False,"['trades', 'monthly_trades']"
15,-1000000.0,TrialState.COMPLETE,10.0,28.5,25,7.5,240,8.0,-2.5,2.726742942941399,0.007140415066826389,11,-0.0152531643307146,0.36363636363636365,0.805278350095283,5.5,4,False,0.4344330600038305,0.0015720341683187478,6,-0.022331239566831383,0.16666666666666666,0.13974323175368292,3.0,2,False,9.182564028722826,0.03499208570344048,16,-0.026348591309371335,0.4375,23.122505441507833,8.0,4,False,4.114580010556018,8.0225090077856,5.5,33,0.36363636363636365,-0.026348591309371335,4,False,['trades']
16,-1000000.0,TrialState.COMPLETE,15.0,29.0,30,5.5,240,6.5,-2.0,-5.233368148002736,-0.038256577786740076,8,-0.03825657778674006,0.125,-0.593428012777155,4.0,2,False,-5.531037664858243,-0.04117337292202394,7,-0.041173372922023985,0.0,-18.84404716691949,3.5,2,False,-1.9572584795143244,-0.008806025921051508,8,-0.027691566763819408,0.25,,4.0,3,False,-4.240554764125101,-9.718737589848324,3.8333333333333335,23,0.13043478260869565,-0.041173372922023985,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
17,-1000000.0,TrialState.COMPLETE,22.0,27.5,30,7.0,150,5.5,-4.0,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
18,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,7.0,150,6.0,-2.0,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
19,-1000000.0,TrialState.COMPLETE,19.0,27.5,15,3.0,300,6.5,-1.5,-3.2283310668790315,-0.01633086435301545,9,-0.027876145426677764,0.1111111111111111,,4.5,3,False,-5.717058241107592,-0.028219548862712718,5,-0.02821954886271268,0.0,,2.5,2,False,4.428095027556611,0.01553423317453051,20,-0.023031402652529908,0.3,,10.0,3,False,-1.5057647601433375,,5.666666666666667,34,0.20588235294117646,-0.02821954886271268,3,False,"['trades', 'win_rate', 'calmar_floor']"
20,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.0,300,6.5,-1.5,-2.0993208531946665,-0.006913929381879069,7,-0.01855665904885903,0.14285714285714285,-15.424132286830572,3.5,2,False,-5.873354851616537,-0.017687003978012705,3,-0.01768700397801265,0.0,,1.5,2,False,-1.4343136980636442,-0.011953641341534982,13,-0.05086953543104306,0.23076923076923078,,6.5,3,False,-3.1356631342916157,-15.424132286830572,3.8333333333333335,23,0.17391304347826086,-0.05086953543104306,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
21,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.0,300,6.5,-2.0,7.62654129745551,0.01653925958101654,5,-0.01291606011342585,0.4,0.6666875484696505,2.5,3,False,-5.873354851616537,-0.017687003978012705,3,-0.01768700397801265,0.0,-1.2749293924469431,1.5,1,False,-1.8223688223566592,-0.01613878501990329,12,-0.05346075776441684,0.25,,6.0,3,False,-0.023060792172562294,-0.3041209219886463,3.3333333333333335,20,0.25,-0.05346075776441684,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
