stock,entry_date,exit_date,entry_price,exit_price,qty,pnl,ret_pct,reason
272210,20260304,20260306,117964.82500000001,157844.05000000002,169,6674233.696097504,33.8060307384002,hold_limit
012450,20260304,20260306,1311945.25,1411816.25,12,1156944.6022500023,7.612436570809633,hold_limit
278470,20260312,20260316,320720.0,344722.625,67,1551589.6561062522,7.483981354452474,hold_limit
010140,20260313,20260316,30718.9625,28884.8625,562,-1070535.76717625,-5.970579247264629,hold_limit
034020,20260316,20260318,105637.15000000001,107856.77500000001,174,340235.40681749955,2.1011784206597772,hold_limit
007660,20260318,20260320,125782.37500000001,128310.65000000001,172,380793.19208999723,2.0100391648670834,hold_limit
298380,20260318,20260319,194837.40000000002,190769.80000000002,89,-403613.7548899986,-2.087689529833592,hold_limit
108490,20260323,20260325,241542.25000000003,259415.0,89,1534109.3092499971,7.399430120403361,hold_limit
090710,20260325,20260326,13750.87,13050.57,1601,-1172370.508296501,-5.092768675727433,hold_limit
373220,20260326,20260330,385866.25000000006,396605.625,45,439546.10484374687,2.7831858837096934,hold_limit
108490,20260326,20260330,247555.75000000003,239958.875,57,-466532.1318937503,-3.0687532000367668,hold_limit
196170,20260326,20260327,379351.62500000006,380641.625,29,10365.412543749437,0.3400539011793935,hold_limit
108490,20260402,20260406,257077.12500000003,245945.375,84,-985682.5581750013,-4.3301207760122695,hold_limit
006400,20260403,20260407,438985.50000000006,452978.5,39,502444.9043249972,3.1875768106235824,hold_limit
064350,20260406,20260408,211474.75000000003,211523.0,85,-39948.414750002325,0.02281596266220376,hold_limit
005490,20260407,20260409,344272.87500000006,357194.5,52,626417.9206999987,3.7533090575317507,hold_limit
012450,20260408,20260410,1481325.5000000002,1488643.0,12,44043.895799998194,0.4939832602625094,hold_limit
010140,20260409,20260414,28564.125000000004,27737.45,638,-570775.0580950007,-2.8941023049017023,hold_limit
035720,20260409,20260414,47456.537500000006,48091.55,307,158776.7781675011,1.338092775942612,hold_limit
267260,20260410,20260415,1004254.5000000001,1060608.25,15,806328.8968124986,5.61150086955049,hold_limit
007660,20260410,20260415,115559.425,124618.975,105,919194.5186812505,7.839732674336175,hold_limit
005930,20260410,20260415,207716.31250000003,213269.0625,47,236421.31745312363,2.67323732699134,hold_limit
108490,20260410,20260415,245551.25000000003,248439.75,32,72954.32359999977,1.1763328429400977,hold_limit
000720,20260410,20260414,181206.80000000002,176102.875,34,-188202.8194875,-2.8166299498694425,hold_limit
042660,20260410,20260414,123777.87500000001,123721.0,40,-14399.658000000753,-0.04594924577596693,hold_limit
402340,20260414,20260416,641440.0,676474.5,16,534034.1995999999,5.46185145921676,hold_limit
035420,20260414,20260416,201953.37500000003,218507.25,42,672778.353974998,8.196879601541674,hold_limit
042660,20260415,20260416,125982.82500000001,131004.575,145,681614.3747312501,3.986059210848758,hold_limit
108490,20260416,20260420,271609.75,277374.5,68,345792.4083000012,2.1224385354355,hold_limit
009830,20260417,20260421,44900.8,43202.575000000004,336,-606167.9597399998,-3.782170919003669,hold_limit
034020,20260417,20260420,108443.45000000001,110949.8,111,248032.0518900007,2.3112045955749227,hold_limit
298380,20260420,20260422,160961.35,153054.85,83,-687363.2037474997,-4.912048762016474,hold_limit
000270,20260420,20260422,158255.27500000002,158143.375,68,-33955.88627500087,-0.07070854352250189,hold_limit
086520,20260421,20260423,162264.27500000002,160537.975,86,-182287.15133250132,-1.0638817447648385,hold_limit
090710,20260422,20260424,11064.84,11294.53,1434,289694.38775100186,2.0758546892679863,hold_limit
005380,20260417,20260417,537206.0,536789.5,34,-58875.565349999815,-0.07753077962643351,eod_forced
