=== 장 마감 후 분봉 데이터 덤프 ===
저장 시간: 2026-01-02 15:30:21
종목 수: 80
================================================================================

[002230] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time    close     open     high      low  volume        amount            datetime
0   20260102  145900  10570.0  10540.0  10570.0  10540.0  1186.0  1.059088e+10 2026-01-02 14:59:00
1   20260102  150000  10590.0  10570.0  10660.0  10570.0   582.0  1.059705e+10 2026-01-02 15:00:00
2   20260102  150100  10650.0  10590.0  10660.0  10580.0  1377.0  1.061164e+10 2026-01-02 15:01:00
3   20260102  150200  10680.0  10650.0  10690.0  10650.0  1692.0  1.062968e+10 2026-01-02 15:02:00
4   20260102  150300  10710.0  10685.0  10710.0  10680.0  1999.0  1.065105e+10 2026-01-02 15:03:00
5   20260102  150400  10770.0  10710.0  10770.0  10710.0  2608.0  1.067904e+10 2026-01-02 15:04:00
6   20260102  150500  10810.0  10770.0  10810.0  10750.0  1924.0  1.069977e+10 2026-01-02 15:05:00
7   20260102  150600  10840.0  10800.0  10850.0  10800.0   597.0  1.070624e+10 2026-01-02 15:06:00
8   20260102  150700  10880.0  10840.0  10880.0  10830.0  1829.0  1.072609e+10 2026-01-02 15:07:00
9   20260102  150800  10900.0  10890.0  11000.0  10890.0  4112.0  1.077098e+10 2026-01-02 15:08:00
10  20260102  150900  11000.0  10950.0  11000.0  10900.0  1620.0  1.078871e+10 2026-01-02 15:09:00
11  20260102  151000  10990.0  11000.0  11000.0  10950.0  1895.0  1.080952e+10 2026-01-02 15:10:00
12  20260102  151100  10950.0  10920.0  10950.0  10910.0  1224.0  1.082288e+10 2026-01-02 15:11:00
13  20260102  151200  10920.0  10950.0  10950.0  10910.0   928.0  1.083302e+10 2026-01-02 15:12:00
14  20260102  151300  10950.0  10920.0  10980.0  10920.0  1819.0  1.085292e+10 2026-01-02 15:13:00
15  20260102  151400  11050.0  10950.0  11050.0  10950.0  2015.0  1.087509e+10 2026-01-02 15:14:00
16  20260102  151500  11070.0  11050.0  11110.0  11000.0  2450.0  1.090221e+10 2026-01-02 15:15:00
17  20260102  151600  11080.0  11070.0  11100.0  11060.0  2381.0  1.092858e+10 2026-01-02 15:16:00
18  20260102  151700  11070.0  11080.0  11100.0  11070.0  2484.0  1.095611e+10 2026-01-02 15:17:00
19  20260102  151800  11080.0  11080.0  11090.0  11070.0  4451.0  1.100542e+10 2026-01-02 15:18:00
20  20260102  151900  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:19:00
21  20260102  152000  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:20:00
22  20260102  152100  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:21:00
23  20260102  152200  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:22:00
24  20260102  152300  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:23:00
25  20260102  152400  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:24:00
26  20260102  152500  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:25:00
27  20260102  152600  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:26:00
28  20260102  152700  11080.0  11080.0  11080.0  11080.0     0.0  1.100542e+10 2026-01-02 15:27:00
29  20260102  152800  11070.0  11070.0  11075.0  11060.0  4800.0  1.105853e+10 2026-01-02 15:28:00

[003310] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time   close    open    high     low   volume        amount            datetime
0   20260102  145900  3330.0  3325.0  3330.0  3325.0   2057.0  1.585747e+10 2026-01-02 14:59:00
1   20260102  150000  3325.0  3330.0  3330.0  3325.0   2547.0  1.586595e+10 2026-01-02 15:00:00
2   20260102  150100  3340.0  3330.0  3340.0  3330.0   3411.0  1.587733e+10 2026-01-02 15:01:00
3   20260102  150200  3345.0  3335.0  3345.0  3330.0   7942.0  1.590385e+10 2026-01-02 15:02:00
4   20260102  150300  3340.0  3340.0  3345.0  3340.0   2930.0  1.591363e+10 2026-01-02 15:03:00
5   20260102  150400  3340.0  3340.0  3345.0  3335.0   6285.0  1.593462e+10 2026-01-02 15:04:00
6   20260102  150500  3335.0  3340.0  3340.0  3335.0   5808.0  1.595401e+10 2026-01-02 15:05:00
7   20260102  150600  3340.0  3335.0  3340.0  3320.0  18274.0  1.601482e+10 2026-01-02 15:06:00
8   20260102  150700  3340.0  3340.0  3340.0  3325.0   6925.0  1.603794e+10 2026-01-02 15:07:00
9   20260102  150800  3335.0  3340.0  3340.0  3325.0   8577.0  1.606651e+10 2026-01-02 15:08:00
10  20260102  150900  3345.0  3335.0  3345.0  3335.0  13876.0  1.611285e+10 2026-01-02 15:09:00
11  20260102  151000  3340.0  3345.0  3350.0  3340.0  13868.0  1.615921e+10 2026-01-02 15:10:00
12  20260102  151100  3330.0  3337.0  3340.0  3330.0   9507.0  1.619092e+10 2026-01-02 15:11:00
13  20260102  151200  3340.0  3330.0  3340.0  3330.0  46013.0  1.634440e+10 2026-01-02 15:12:00
14  20260102  151300  3345.0  3340.0  3350.0  3340.0  10163.0  1.637840e+10 2026-01-02 15:13:00
15  20260102  151400  3345.0  3345.0  3345.0  3340.0   5325.0  1.639622e+10 2026-01-02 15:14:00
16  20260102  151500  3350.0  3345.0  3350.0  3345.0  10569.0  1.643160e+10 2026-01-02 15:15:00
17  20260102  151600  3355.0  3350.0  3355.0  3350.0  11998.0  1.647182e+10 2026-01-02 15:16:00
18  20260102  151700  3355.0  3355.0  3355.0  3350.0  16235.0  1.652627e+10 2026-01-02 15:17:00
19  20260102  151800  3350.0  3355.0  3355.0  3345.0   9050.0  1.655659e+10 2026-01-02 15:18:00
20  20260102  151900  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:19:00
21  20260102  152000  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:20:00
22  20260102  152100  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:21:00
23  20260102  152200  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:22:00
24  20260102  152300  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:23:00
25  20260102  152400  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:24:00
26  20260102  152500  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:25:00
27  20260102  152600  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:26:00
28  20260102  152700  3350.0  3350.0  3350.0  3350.0      0.0  1.655659e+10 2026-01-02 15:27:00
29  20260102  152800  3350.0  3350.0  3355.0  3340.0  20083.0  1.662384e+10 2026-01-02 15:28:00

[038460] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time   close    open    high     low   volume        amount            datetime
0   20260102  145900  3945.0  3950.0  3950.0  3945.0   2092.0  9.008985e+09 2026-01-02 14:59:00
1   20260102  150000  3960.0  3945.0  3965.0  3945.0  16331.0  9.073614e+09 2026-01-02 15:00:00
2   20260102  150100  3955.0  3960.0  3965.0  3950.0   1501.0  9.079552e+09 2026-01-02 15:01:00
3   20260102  150200  3955.0  3955.0  3955.0  3955.0    311.0  9.080782e+09 2026-01-02 15:02:00
4   20260102  150300  3955.0  3955.0  3960.0  3955.0   4658.0  9.099213e+09 2026-01-02 15:03:00
5   20260102  150400  3950.0  3955.0  3960.0  3945.0   6912.0  9.126524e+09 2026-01-02 15:04:00
6   20260102  150500  3945.0  3955.0  3955.0  3945.0   1306.0  9.131682e+09 2026-01-02 15:05:00
7   20260102  150600  3955.0  3945.0  3960.0  3945.0   2772.0  9.142629e+09 2026-01-02 15:06:00
8   20260102  150700  3960.0  3955.0  3960.0  3950.0   4741.0  9.161379e+09 2026-01-02 15:07:00
9   20260102  150800  3965.0  3960.0  3965.0  3945.0   2641.0  9.171836e+09 2026-01-02 15:08:00
10  20260102  150900  3960.0  3960.0  3965.0  3960.0   6167.0  9.196260e+09 2026-01-02 15:09:00
11  20260102  151000  3960.0  3960.0  3960.0  3950.0    597.0  9.198623e+09 2026-01-02 15:10:00
12  20260102  151100  3955.0  3955.0  3955.0  3950.0   2201.0  9.207321e+09 2026-01-02 15:11:00
13  20260102  151200  3955.0  3950.0  3955.0  3950.0   2824.0  9.218479e+09 2026-01-02 15:12:00
14  20260102  151300  3950.0  3955.0  3955.0  3945.0   4874.0  9.237728e+09 2026-01-02 15:13:00
15  20260102  151400  3950.0  3945.0  3955.0  3945.0   6755.0  9.264395e+09 2026-01-02 15:14:00
16  20260102  151500  3955.0  3950.0  3955.0  3945.0   5125.0  9.284639e+09 2026-01-02 15:15:00
17  20260102  151600  3945.0  3950.0  3950.0  3945.0   7105.0  9.312675e+09 2026-01-02 15:16:00
18  20260102  151700  3940.0  3945.0  3950.0  3940.0   4394.0  9.330011e+09 2026-01-02 15:17:00
19  20260102  151800  3950.0  3940.0  3955.0  3940.0  15912.0  9.392760e+09 2026-01-02 15:18:00
20  20260102  151900  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:19:00
21  20260102  152000  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:20:00
22  20260102  152100  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:21:00
23  20260102  152200  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:22:00
24  20260102  152300  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:23:00
25  20260102  152400  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:24:00
26  20260102  152500  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:25:00
27  20260102  152600  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:26:00
28  20260102  152700  3950.0  3950.0  3950.0  3950.0      0.0  9.392760e+09 2026-01-02 15:27:00
29  20260102  152800  3955.0  3955.0  3970.0  3950.0  21733.0  9.478835e+09 2026-01-02 15:28:00

[043260] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time    close     open     high      low   volume        amount            datetime
0   20260102  145900  10700.0  10680.0  10750.0  10680.0  17168.0  1.586815e+10 2026-01-02 14:59:00
1   20260102  150000  10510.0  10700.0  10720.0  10510.0   9300.0  1.596688e+10 2026-01-02 15:00:00
2   20260102  150100  10580.0  10520.0  10580.0  10520.0   3485.0  1.600370e+10 2026-01-02 15:01:00
3   20260102  150200  10600.0  10590.0  10630.0  10580.0    740.0  1.601155e+10 2026-01-02 15:02:00
4   20260102  150300  10570.0  10610.0  10610.0  10560.0   7942.0  1.609558e+10 2026-01-02 15:03:00
5   20260102  150400  10570.0  10570.0  10610.0  10550.0   1999.0  1.611671e+10 2026-01-02 15:04:00
6   20260102  150500  10530.0  10570.0  10570.0  10530.0   4675.0  1.616598e+10 2026-01-02 15:05:00
7   20260102  150600  10530.0  10530.0  10540.0  10530.0   3991.0  1.620801e+10 2026-01-02 15:06:00
8   20260102  150700  10570.0  10530.0  10570.0  10530.0   2303.0  1.623231e+10 2026-01-02 15:07:00
9   20260102  150800  10610.0  10570.0  10620.0  10570.0   3724.0  1.627181e+10 2026-01-02 15:08:00
10  20260102  150900  10610.0  10610.0  10620.0  10600.0    537.0  1.627751e+10 2026-01-02 15:09:00
11  20260102  151000  10610.0  10610.0  10610.0  10590.0   2564.0  1.630470e+10 2026-01-02 15:10:00
12  20260102  151100  10630.0  10620.0  10640.0  10620.0   1386.0  1.631943e+10 2026-01-02 15:11:00
13  20260102  151200  10640.0  10620.0  10650.0  10610.0   8347.0  1.640812e+10 2026-01-02 15:12:00
14  20260102  151300  10660.0  10640.0  10660.0  10640.0   3891.0  1.644956e+10 2026-01-02 15:13:00
15  20260102  151400  10650.0  10650.0  10660.0  10640.0   5832.0  1.651170e+10 2026-01-02 15:14:00
16  20260102  151500  10660.0  10650.0  10660.0  10640.0   7238.0  1.658885e+10 2026-01-02 15:15:00
17  20260102  151600  10700.0  10670.0  10700.0  10650.0   3414.0  1.662526e+10 2026-01-02 15:16:00
18  20260102  151700  10680.0  10700.0  10700.0  10680.0   5682.0  1.668602e+10 2026-01-02 15:17:00
19  20260102  151800  10700.0  10680.0  10700.0  10680.0   3191.0  1.672014e+10 2026-01-02 15:18:00
20  20260102  151900  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:19:00
21  20260102  152000  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:20:00
22  20260102  152100  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:21:00
23  20260102  152200  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:22:00
24  20260102  152300  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:23:00
25  20260102  152400  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:24:00
26  20260102  152500  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:25:00
27  20260102  152600  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:26:00
28  20260102  152700  10700.0  10700.0  10700.0  10700.0      0.0  1.672014e+10 2026-01-02 15:27:00
29  20260102  152800  10690.0  10700.0  10700.0  10670.0   6302.0  1.678749e+10 2026-01-02 15:28:00

[049070] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time    close     open     high      low  volume        amount            datetime
0   20260102  145900  20400.0  20400.0  20400.0  20350.0   885.0  1.319108e+10 2026-01-02 14:59:00
1   20260102  150000  20400.0  20450.0  20500.0  20400.0  2083.0  1.323366e+10 2026-01-02 15:00:00
2   20260102  150100  20400.0  20400.0  20450.0  20400.0   327.0  1.324034e+10 2026-01-02 15:01:00
3   20260102  150200  20450.0  20400.0  20450.0  20400.0  1304.0  1.326698e+10 2026-01-02 15:02:00
4   20260102  150300  20450.0  20450.0  20450.0  20400.0   495.0  1.327707e+10 2026-01-02 15:03:00
5   20260102  150400  20450.0  20450.0  20450.0  20450.0   180.0  1.328075e+10 2026-01-02 15:04:00
6   20260102  150500  20425.0  20450.0  20450.0  20400.0  1193.0  1.330512e+10 2026-01-02 15:05:00
7   20260102  150600  20450.0  20450.0  20450.0  20400.0  1526.0  1.333629e+10 2026-01-02 15:06:00
8   20260102  150700  20400.0  20450.0  20450.0  20400.0   213.0  1.334064e+10 2026-01-02 15:07:00
9   20260102  150800  20400.0  20400.0  20450.0  20400.0  1170.0  1.336456e+10 2026-01-02 15:08:00
10  20260102  150900  20450.0  20450.0  20450.0  20400.0  2148.0  1.340848e+10 2026-01-02 15:09:00
11  20260102  151000  20450.0  20450.0  20450.0  20400.0  1691.0  1.344305e+10 2026-01-02 15:10:00
12  20260102  151100  20500.0  20450.0  20500.0  20400.0  2116.0  1.348632e+10 2026-01-02 15:11:00
13  20260102  151200  20450.0  20450.0  20500.0  20450.0  2789.0  1.354340e+10 2026-01-02 15:12:00
14  20260102  151300  20400.0  20450.0  20450.0  20400.0   811.0  1.355998e+10 2026-01-02 15:13:00
15  20260102  151400  20400.0  20450.0  20450.0  20400.0  1712.0  1.359498e+10 2026-01-02 15:14:00
16  20260102  151500  20450.0  20400.0  20450.0  20400.0  2499.0  1.364604e+10 2026-01-02 15:15:00
17  20260102  151600  20450.0  20400.0  20450.0  20400.0  1265.0  1.367190e+10 2026-01-02 15:16:00
18  20260102  151700  20450.0  20450.0  20500.0  20450.0   791.0  1.368809e+10 2026-01-02 15:17:00
19  20260102  151800  20450.0  20500.0  20500.0  20450.0  2360.0  1.373642e+10 2026-01-02 15:18:00
20  20260102  151900  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:19:00
21  20260102  152000  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:20:00
22  20260102  152100  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:21:00
23  20260102  152200  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:22:00
24  20260102  152300  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:23:00
25  20260102  152400  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:24:00
26  20260102  152500  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:25:00
27  20260102  152600  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:26:00
28  20260102  152700  20450.0  20450.0  20450.0  20450.0     0.0  1.373642e+10 2026-01-02 15:27:00
29  20260102  152800  20500.0  20500.0  20500.0  20450.0  1707.0  1.377139e+10 2026-01-02 15:28:00

[049630] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time   close    open    high     low    volume        amount            datetime
0   20260102  145900  4975.0  5020.0  5020.0  4965.0  279242.0  1.102344e+11 2026-01-02 14:59:00
1   20260102  150000  5010.0  4975.0  5010.0  4965.0   54108.0  1.105042e+11 2026-01-02 15:00:00
2   20260102  150100  4990.0  5010.0  5020.0  4980.0   73167.0  1.108702e+11 2026-01-02 15:01:00
3   20260102  150200  4990.0  4985.0  5010.0  4985.0   36617.0  1.110530e+11 2026-01-02 15:02:00
4   20260102  150300  4990.0  4985.0  4995.0  4985.0   57317.0  1.113389e+11 2026-01-02 15:03:00
5   20260102  150400  4975.0  4990.0  4990.0  4965.0  137705.0  1.120243e+11 2026-01-02 15:04:00
6   20260102  150500  4975.0  4975.0  4985.0  4970.0   36750.0  1.122072e+11 2026-01-02 15:05:00
7   20260102  150600  4970.0  4975.0  4980.0  4970.0   42529.0  1.124186e+11 2026-01-02 15:06:00
8   20260102  150700  4975.0  4970.0  4980.0  4970.0   35911.0  1.125972e+11 2026-01-02 15:07:00
9   20260102  150800  4970.0  4970.0  4975.0  4970.0   26297.0  1.127280e+11 2026-01-02 15:08:00
10  20260102  150900  4952.0  4975.0  4975.0  4950.0  172960.0  1.135860e+11 2026-01-02 15:09:00
11  20260102  151000  4940.0  4950.0  4952.0  4935.0  138628.0  1.142714e+11 2026-01-02 15:10:00
12  20260102  151100  4960.0  4945.0  4960.0  4935.0   51838.0  1.145278e+11 2026-01-02 15:11:00
13  20260102  151200  4970.0  4955.0  4975.0  4955.0   38359.0  1.147182e+11 2026-01-02 15:12:00
14  20260102  151300  4950.0  4970.0  4970.0  4950.0   41907.0  1.149261e+11 2026-01-02 15:13:00
15  20260102  151400  4950.0  4950.0  4955.0  4950.0   16022.0  1.150054e+11 2026-01-02 15:14:00
16  20260102  151500  4955.0  4960.0  4965.0  4950.0   35723.0  1.151825e+11 2026-01-02 15:15:00
17  20260102  151600  4960.0  4965.0  4970.0  4955.0   57031.0  1.154654e+11 2026-01-02 15:16:00
18  20260102  151700  4965.0  4960.0  4970.0  4960.0   30865.0  1.156186e+11 2026-01-02 15:17:00
19  20260102  151800  4965.0  4965.0  4970.0  4950.0   88772.0  1.160589e+11 2026-01-02 15:18:00
20  20260102  151900  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:19:00
21  20260102  152000  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:20:00
22  20260102  152100  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:21:00
23  20260102  152200  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:22:00
24  20260102  152300  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:23:00
25  20260102  152400  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:24:00
26  20260102  152500  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:25:00
27  20260102  152600  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:26:00
28  20260102  152700  4965.0  4965.0  4965.0  4965.0       0.0  1.160589e+11 2026-01-02 15:27:00
29  20260102  152800  4955.0  4965.0  4970.0  4950.0   65730.0  1.163849e+11 2026-01-02 15:28:00

[071670] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time    close     open     high      low  volume        amount            datetime
0   20260102  145900  10760.0  10750.0  10760.0  10730.0  6326.0  9.052510e+09 2026-01-02 14:59:00
1   20260102  150000  10750.0  10760.0  10760.0  10730.0   630.0  9.059279e+09 2026-01-02 15:00:00
2   20260102  150100  10740.0  10740.0  10750.0  10730.0   423.0  9.063822e+09 2026-01-02 15:01:00
3   20260102  150200  10760.0  10750.0  10760.0  10740.0   821.0  9.072648e+09 2026-01-02 15:02:00
4   20260102  150300  10780.0  10760.0  10780.0  10760.0  1175.0  9.085300e+09 2026-01-02 15:03:00
5   20260102  150400  10780.0  10780.0  10800.0  10780.0  1637.0  9.102958e+09 2026-01-02 15:04:00
6   20260102  150500  10780.0  10780.0  10790.0  10780.0  1206.0  9.115959e+09 2026-01-02 15:05:00
7   20260102  150600  10780.0  10770.0  10780.0  10750.0  1501.0  9.132113e+09 2026-01-02 15:06:00
8   20260102  150700  10770.0  10750.0  10780.0  10700.0  2525.0  9.159197e+09 2026-01-02 15:07:00
9   20260102  150800  10770.0  10720.0  10770.0  10720.0   420.0  9.163713e+09 2026-01-02 15:08:00
10  20260102  150900  10770.0  10770.0  10770.0  10740.0   245.0  9.166351e+09 2026-01-02 15:09:00
11  20260102  151000  10770.0  10770.0  10770.0  10740.0   500.0  9.171732e+09 2026-01-02 15:10:00
12  20260102  151100  10780.0  10770.0  10790.0  10770.0  1571.0  9.188656e+09 2026-01-02 15:11:00
13  20260102  151200  10770.0  10770.0  10780.0  10770.0   127.0  9.190024e+09 2026-01-02 15:12:00
14  20260102  151300  10800.0  10770.0  10800.0  10770.0  1031.0  9.201144e+09 2026-01-02 15:13:00
15  20260102  151400  10780.0  10800.0  10800.0  10780.0   316.0  9.204553e+09 2026-01-02 15:14:00
16  20260102  151500  10770.0  10780.0  10780.0  10770.0  1741.0  9.223311e+09 2026-01-02 15:15:00
17  20260102  151600  10750.0  10770.0  10770.0  10750.0  1131.0  9.235472e+09 2026-01-02 15:16:00
18  20260102  151700  10750.0  10750.0  10760.0  10750.0   575.0  9.241655e+09 2026-01-02 15:17:00
19  20260102  151800  10750.0  10750.0  10760.0  10750.0  1378.0  9.256474e+09 2026-01-02 15:18:00
20  20260102  151900  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:19:00
21  20260102  152000  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:20:00
22  20260102  152100  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:21:00
23  20260102  152200  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:22:00
24  20260102  152300  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:23:00
25  20260102  152400  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:24:00
26  20260102  152500  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:25:00
27  20260102  152600  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:26:00
28  20260102  152700  10750.0  10750.0  10750.0  10750.0     0.0  9.256474e+09 2026-01-02 15:27:00
29  20260102  152800  10750.0  10740.0  10760.0  10730.0  1831.0  9.276150e+09 2026-01-02 15:28:00

[080220] 분봉 데이터: 30건
--------------------------------------------------------------------------------
        date    time    close     open     high      low   volume        amount            datetime
0   20260102  145900  30750.0  30750.0  30800.0  30700.0   9670.0  5.005800e+11 2026-01-02 14:59:00
1   20260102  150000  30800.0  30750.0  30850.0  30750.0  10972.0  5.009180e+11 2026-01-02 15:00:00
2   20260102  150100  30950.0  30800.0  31000.0  30800.0  59580.0  5.027593e+11 2026-01-02 15:01:00
3   20260102  150200  30900.0  30900.0  31000.0  30900.0  23709.0  5.034930e+11 2026-01-02 15:02:00
4   20260102  150300  30900.0  30950.0  30950.0  30800.0  22235.0  5.041800e+11 2026-01-02 15:03:00
5   20260102  150400  30800.0  30900.0  30900.0  30800.0  16710.0  5.046952e+11 2026-01-02 15:04:00
6   20260102  150500  30800.0  30850.0  30850.0  30800.0  21902.0  5.053702e+11 2026-01-02 15:05:00
7   20260102  150600  30750.0  30800.0  30800.0  30700.0  27140.0  5.062045e+11 2026-01-02 15:06:00
8   20260102  150700  30750.0  30700.0  30800.0  30700.0  13528.0  5.066205e+11 2026-01-02 15:07:00
9   20260102  150800  30800.0  30750.0  30800.0  30750.0   6470.0  5.068197e+11 2026-01-02 15:08:00
10  20260102  150900  30800.0  30800.0  30850.0  30750.0   9782.0  5.071211e+11 2026-01-02 15:09:00
11  20260102  151000  30800.0  30825.0  30850.0  30800.0  10750.0  5.074524e+11 2026-01-02 15:10:00
12  20260102  151100  30850.0  30850.0  30850.0  30800.0   9281.0  5.077385e+11 2026-01-02 15:11:00
13  20260102  151200  30850.0  30850.0  30850.0  30800.0  13717.0  5.081615e+11 2026-01-02 15:12:00
14  20260102  151300  30800.0  30850.0  30850.0  30800.0  16552.0  5.086715e+11 2026-01-02 15:13:00
15  20260102  151400  30750.0  30850.0  30850.0  30700.0  38393.0  5.098519e+11 2026-01-02 15:14:00
16  20260102  151500  30750.0  30725.0  30750.0  30700.0   9737.0  5.101510e+11 2026-01-02 15:15:00
17  20260102  151600  30700.0  30750.0  30750.0  30700.0  17420.0  5.106860e+11 2026-01-02 15:16:00
