=== 총 승패: 1승 0패 ===
=== selection_date 이후 승패: 1승 0패 ===
=== 🌅 12시 이전 매수 종목: 1승 0패 (승률 100.0%) ===
   🟢 006910 11:54 매수 → +3.50%

=== 006910 - 20251010 눌림목(3분) 신호 재현 ===
  selection_date: 2025-10-10 10:17:24
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:54 [pullback_pattern]
  체결 시뮬레이션:
    11:54 매수[pullback_pattern] @5,512 → 12:50 매도[profit_3.5pct] @5,705 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:4,795 | 거래량:74,091 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:4,735 | 거래량:73,168 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:4,750 | 거래량:22,837 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:4,790 | 거래량:30,249 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:4,780 | 거래량:35,105 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:4,785 | 거래량:19,641 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:4,790 | 거래량:21,135 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:4,805 | 거래량:84,019 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:4,850 | 거래량:149,694 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:4,845 | 거래량:282,317 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:42→09:45: 종가:4,855 | 거래량:97,279 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:4,940 | 거래량:344,448 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:4,950 | 거래량:290,362 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:4,985 | 거래량:355,860 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:5,010 | 거래량:415,992 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:4,990 | 거래량:136,767 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:4,995 | 거래량:152,652 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:4,965 | 거래량:64,192 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:4,975 | 거래량:49,188 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:5,040 | 거래량:282,905 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:5,060 | 거래량:263,536 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:5,160 | 거래량:670,305 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:5,380 | 거래량:1,480,662 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:5,420 | 거래량:1,259,613 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:5,520 | 거래량:1,496,128 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:5,540 | 거래량:856,754 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:5,550 | 거래량:466,553 | 🔴회피(4단계패턴없음) | 신뢰도:0%
