=== 총 승패: 16승 8패 ===
=== selection_date 이후 승패: 16승 8패 ===
=== 🌅 12시 이전 매수 종목: 15승 7패 (승률 68.2%) ===
   🟢 042700 09:36 매수 → +3.50%
   🟢 160190 09:39 매수 → +3.50%
   🟢 300080 09:48 매수 → +3.50%
   🟢 001520 09:54 매수 → +3.50%
   🟢 437730 10:06 매수 → +3.50%
   🟢 043260 10:12 매수 → +1.15%
   🟢 327260 10:15 매수 → +3.50%
   🟢 034020 10:15 매수 → +2.17%
   🔴 160190 10:18 매수 → -2.50%
   🟢 078350 10:39 매수 → +3.50%
   🟢 115180 10:39 매수 → +3.50%
   🔴 174900 10:41 매수 → -2.50%
   🔴 381620 10:57 매수 → -2.50%
   🟢 319400 11:03 매수 → +3.50%
   🟢 090710 11:06 매수 → +3.50%
   🟢 119850 11:09 매수 → +1.62%
   🟢 300080 11:21 매수 → +1.34%
   🟢 001520 11:24 매수 → +3.50%
   🔴 327260 11:38 매수 → -2.50%
   🔴 078350 11:51 매수 → -2.50%
   🔴 090710 11:54 매수 → -2.50%
   🔴 381620 11:57 매수 → -2.50%

=== 010170 - 20251015 눌림목(3분) 신호 재현 ===
  selection_date: 2025-10-15 11:34:11
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,447 | 거래량:418,890 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:1,489 | 거래량:905,315 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:1,427 | 거래량:797,462 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:1,422 | 거래량:478,595 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:1,407 | 거래량:308,239 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:1,422 | 거래량:587,137 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:1,472 | 거래량:480,411 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:1,492 | 거래량:1,768,224 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:1,513 | 거래량:1,319,385 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:1,530 | 거래량:1,934,604 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:1,513 | 거래량:1,320,642 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:1,575 | 거래량:2,403,679 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:1,559 | 거래량:991,365 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:1,560 | 거래량:968,183 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:1,575 | 거래량:899,784 | 🔴회피(4단계패턴없음) | 신뢰도:0%
